2.280000 0.670588  439.727188  -8262.370260  8262.370260
2.290000 0.673529  416.119715  -7795.529928  7795.529928
2.300000 0.676471  393.843699  -7356.672367  7356.672367
2.310000 0.679412  372.819487  -6944.016922  6944.016922
2.320000 0.682353  352.972484  -6555.902992  6555.902992
2.330000 0.685294  334.232814  -6190.781484  6190.781484
2.340000 0.688235  316.535001  -5847.206895  5847.206895
2.350000 0.691176  299.817680  -5523.829997  5523.829997
2.360000 0.694118  284.023320  -5219.391059  5219.391059
2.370000 0.697059  269.097969  -4932.713577  4932.713577
2.380000 0.700000  254.991024  -4662.698464  4662.698464
2.390000 0.702941  241.655005  -4408.318665  4408.318665
2.400000 0.705882  229.045352  -4168.614174  4168.614174
2.410000 0.708824  217.120239  -3942.687407  3942.687407
2.420000 0.711765  205.840391  -3729.698913  3729.698913
2.430000 0.714706  195.168921  -3528.863399  3528.863399
2.440000 0.717647  185.071178  -3339.446039  3339.446039
2.450000 0.720588  175.514602  -3160.759045  3160.759045
2.460000 0.723529  166.468590  -2992.158490  2992.158490
2.470000 0.726471  157.904374  -2833.041351  2833.041351
2.480000 0.729412  149.794899  -2682.842764  2682.842764
2.490000 0.732353  142.114722  -2541.033477  2541.033477
2.500000 0.735294  134.839906  -2407.117475  2407.117475
2.510000 0.738235  127.947926  -2280.629778  2280.629778
2.520000 0.741176  121.417582  -2161.134388  2161.134388
2.530000 0.744118  115.228917  -2048.222384  2048.222384
2.540000 0.747059  109.363138  -1941.510144  1941.510144
2.550000 0.750000  103.802544  -1840.637693  1840.637693
2.560000 0.752941  98.530464  -1745.267162  1745.267162
2.570000 0.755882  93.531185  -1655.081360  1655.081360
2.580000 0.758824  88.789900  -1569.782432  1569.782432
2.590000 0.761765  84.292654  -1489.090615  1489.090615
2.600000 0.764706  80.026285  -1412.743083  1412.743083
2.610000 0.767647  75.978384  -1340.492859  1340.492859
2.620000 0.770588  72.137244  -1272.107808  1272.107808
2.630000 0.773529  68.491822  -1207.369695  1207.369695
2.640000 0.776471  65.031696  -1146.073309  1146.073309
2.650000 0.779412  61.747030  -1088.025639  1088.025639
2.660000 0.782353  58.628538  -1033.045110  1033.045110
2.670000 0.785294  55.667455  -980.960870  980.960870
2.680000 0.788235  52.855499  -931.612117  931.612117
2.690000 0.791176  50.184850  -884.847481  884.847481
2.700000 0.794118  47.648120  -840.524434  840.524434
2.710000 0.797059  45.238327  -798.508751  798.508751
2.720000 0.800000  42.948872  -758.673996  758.673996
2.730000 0.802941  40.773517  -720.901044  720.901044
2.740000 0.805882  38.706366  -685.077642  685.077642
2.750000 0.808824  36.741842  -651.097980  651.097980
2.760000 0.811765  34.874669  -618.862312  618.862312
2.770000 0.814706  33.099858  -588.276582  588.276582
2.780000 0.817647  31.412688  -559.252085  559.252085
2.790000 0.820588  29.808691  -531.705144  531.705144
2.800000 0.823529  28.283639  -505.556812  505.556812
2.810000 0.826471  26.833529  -480.732587  480.732587
2.820000 0.829412  25.454572  -457.162152  457.162152
2.830000 0.832353  24.143176  -434.779124  434.779124
2.840000 0.835294  22.895945  -413.520822  413.520822
2.850000 0.838235  21.709656  -393.328053  393.328053
2.860000 0.841176  20.581261  -374.144903  374.144903
2.870000 0.844118  19.507866  -355.918547  355.918547
2.880000 0.847059  18.486733  -338.599073  338.599073
2.890000 0.850000  17.515264  -322.139305  322.139305
2.900000 0.852941  16.590997  -306.494652  306.494652
2.910000 0.855882  15.711597  -291.622958  291.622958
2.920000 0.858824  14.874849  -277.484356  277.484356
2.930000 0.861765  14.078654  -264.041145  264.041145
2.940000 0.864706  13.321019  -251.257660  251.257660
2.950000 0.867647  12.600054  -239.100160  239.100160
2.960000 0.870588  11.913965  -227.536718  227.536718
2.970000 0.873529  11.261050  -216.537117  216.537117
2.980000 0.876471  10.639693  -206.072752  206.072752
2.990000 0.879412  10.048359  -196.116547  196.116547
3.000000 0.882353  9.485593  -186.642859  186.642859
